prompt,completion
"Brand is Dune. Occasion Type is Smart. Shoe Or Boot Style is Loafers. Main Shoe Material is Leather. Fastening is Slip-On. Toe Detail is Round. Material is Upper: leather, Sole: rubber, Lining: fabric.","A classic revisited these formal Sync Penny loafers from Dune come with a modern twist. The collapsible heel counter transforms the shoe into a backless style, providing two styles in one."
"Brand is Dune. Occasion Type is Smart. Shoe Or Boot Style is Loafers. Main Shoe Material is Suede. Fastening is Slip-On. Toe Detail is Closed Toe, Round. Material is Upper: suede, Sole: synthetic.","Perfect for adding nonchalant style to smart casual attire, these loafers from Dune boast soft and supple suede uppers.
Simple to slip on, pair with pinstripe trousers and a crisp shirt for a debonair finish."
"Brand is John Lewis. Shoe Or Boot Style is Oxford Shoes. Main Shoe Material is Leather. Country of Origin is India. Fastening is Lace-Up. Material is Upper: leather, Sole: rubber, Lining: leather ."," Offering a classic oxford silhouette, these shoes from John Lewis & Partners will become a favourite in your formal assortment. Made from smooth leather, they fasten with laces, feature visible stitching details and come complete with a defined toecap. Finished with a durable rubber sole, these are long-lasting. 
 The insole of this shoe has been sewn directly to the outsole, the benefit of this is it's stronger and less likely to fall apart. "
"Brand is John Lewis. Occasion Type is Smart. Main Shoe Material is Leather. Shoe Or Boot Style is Brogues. Country of Origin is India. Fastening is Lace-Up. Material is upper: leather, sole: rubber, lining: leather .","Our contemporary longwing brogue sits on a tailored last to give a modern, smart look. It's made with quality full-grain leather with leather lining, blind eyelets and waxed laces. The Ortholite insole provides long-term cushioning, high-level breathability and Antimicrobial protection."
Washing Instructions is Wipe Clean Only. Brand is TOMS. Occasion Type is Casual. Shoe Or Boot Style is Espadrilles. Main Shoe Material is Textile. Fastening is Slip-On. Toe Detail is Round.,"A timeless choice for sunny days, these espadrilles from TOMS boast textile uppers that support you as you move.
Slipping on when needed, they are the perfect complement to jeans and your favourite tee."
Brand is Moss. Occasion Type is Smart. Shoe Or Boot Style is Oxford Shoes. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: polyurethane; Lining: polyurethane; Sole: rubber.,"For that ultra-polished look, these patent leather dress shoes from Moss London are a great go-to option. If you've got an excuse to dress up, take the black-tie style to another level with the help of these patent leather oxfords. With their highly polished uppers, they're the perfect accompaniment to a suave black jacket and trouser combo. Whether you're heading to a wedding or a formal dinner, these dress shoes will work perfectly with one of Moss London's skinny fit tuxedos."
"Brand is John Lewis. Occasion Type is Smart. Main Shoe Material is Suede. Shoe Or Boot Style is Loafers. Country of Origin is India. Fastening is Slip-On. Toe Detail is Almond. Material is Upper: leather, Sole: rubber, Lining: leather, textile.","Relaxed, comfortable and smart, our cupsole loafer combines the ease of a slip-on loafer with the all-around comfort of a trainer. 
Made with quality suede to enhance the luxurious feel, the Ortholite insole provides long-term cushioning, high-level breathability and Antimicrobial protection.

A go-to smart/casual option for the summer."
"Washing Instructions is  Do not wash. Brand is John Lewis ANYDAY. Shoe Or Boot Style is Espadrilles. Fastening is Slip-On. Toe Detail is Round. Material is Upper; cotton, Lining; cotton and elastane, Outsole; TPR fabric.","With uppers made from durable cotton, these ANYDAY Espadrilles are a classic style for the warmer months ahead. Perfect for holiday edits and summer-city exploring.
With great prices and great design, our new brand offers style and quality for modern living today. Whatever you need, there's joy to be found in "
"Brand is John Lewis. Occasion Type is Smart. Shoe Or Boot Style is Derby. Main Shoe Material is Leather. Country of Origin is India. Material is Upper: leather, Sole: synthetic.","Made from smooth leather in a slim Derby design, these John Lewis & Partners shoes are a timeless choice for formal occasions."
"Washing Instructions is Wipe Clean Only. Brand is Dune. Occasion Type is Smart. Shoe Or Boot Style is Derby. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: leather, Sole: rubber, Lining: fabric.","These Sparrows Gibson shoes are a refined formal option from Dune.
Crafted from premium leather with classic tonal top stitch detail, they're rounded off with a soft round toe and natural effect sole."
"Brand is John Lewis. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Country of Origin is India. Fastening is Lace-Up. Toe Detail is Round. Composition is Upper: leather, Sole: rubber, Lining: textile.","Our Brogue trainer combines traditional British detailing with a simple retro shape to give a shoe perfect for everyday wear. 
The look is enhanced by the quality leather upper and the contrast colour heel tab, whilst the Ortholite insole provides long-term cushioning, high-level breathability and Antimicrobial protection."
"Washing Instructions is Wipe Clean Only. Brand is TOMS. Occasion Type is Casual. Shoe Or Boot Style is Espadrilles. Main Shoe Material is Canvas. Fastening is Slip-On. Toe Detail is Round. Composition is Upper: textile, Sole: textile/rubber, Lining: cotton.","TOMS Alpargata slip-on is now designed using earth-conscious materials to lessen your impact on the planet and bring maximum comfort to your day-to-day shoe. 
Step into these espadrilles in recycled cotton canvas, and spark change with every stride.
Featuring TOMS signature CloudBound Soles for extra comfort, breathability and traction and a removable and hand washable OrthoLite Eco LT Hybrid insole for lightweight cushioning, this option is made with plant-derived and recycled materials."
"Washing Instructions is Wipe Clean Only. Brand is TOMS. Occasion Type is Casual. Shoe Or Boot Style is Espadrilles. Main Shoe Material is Canvas. Fastening is Slip-On. Toe Detail is Closed Toe, Round. Composition is Upper: canvas, Sole: synthetic, Lining: cotton.","Preparing you for the warmer weather, these espadrilles from TOMS are made from canvas for a light and comfortable wear.
Simple to slip on, pair with rolled up trousers for the ultimate weekend look."
Brand is Hush Puppies. Occasion Type is Casual. Shoe Or Boot Style is Derby. Main Shoe Material is Suede. Fastening is Lace-Up. Toe Detail is Round. Composition is Upper: suede; Lining: textile; Sole: TPR .,"These Scout shoes from Hush Puppies are made from water repellent suede with leather uppers and a flexible yet lightweight sole unit.
The breathable textile and sock lining keep the feet feeling dry, while the memory foam comfort insole ensures all-day comfort."
"Washing Instructions is Wipe Clean Only. Brand is Hunter. Occasion Type is Casual. Shoe Or Boot Style is Shoe Boots. Main Shoe Material is Rubber. Fastening is Slip-On. Toe Detail is Round. Composition is Upper: rubber, Sole: rubber, Lining: neoprene.","An enduring option for the colder seasons, these shoe boots from Hunter are fully waterproof thanks to their rubber composition.
Slipping on with ease, they're the perfect choice for the weekend."
"Brand is Dune. Occasion Type is Smart. Shoe Or Boot Style is Derby. Main Shoe Material is Leather. Toe Detail is Almond, Closed Toe. Material is Upper: leather, Sole: synthetic, Lining: synthetic.","A dapper must-have for the modern man, these smart shoes from Dune are constructed from pure leather that will age beautifully with every wear.
Fastening with laces, they are the perfect partner to sharp tailoring."
"Brand is Dune. Occasion Type is Smart. Shoe Or Boot Style is Oxford Shoes. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: leather, Sole: synthetic, Lining: synthetic.","Opt for a classic smart-casual look with the Dune Satchel lace-up shoes. Made from leather and secured with lace fastenings, they're finished with a contrasting panel on the sole and a low block heel."
"Brand is Dune. Occasion Type is Smart. Shoe Or Boot Style is Oxford Shoes. Main Shoe Material is Leather. Country of Origin is China. Fastening is Lace-Up. Toe Detail is Round. Composition is Upper: leather, Sole: rubber, Lining: fabric.","Invest in a sleek footwear choice with these patent leather Dune Swan Shoes. Designed in an Oxford silhouette with a low block heel and a round toe, this traditional pair feature lace-up fastenings and ribbon detailing. 
Pair with your 9-5 suiting assortment for a completed look. "
"Washing Instructions is Wipe Clean Only. Main Shoe Material is Leather. Shoe Or Boot Style is Mules. Heel Type is Flat. Heel Height is Flat. Brand is Celtic & Co.. Occasion Type is Casual. Toe Detail is Round. Composition is Upper: leather, Lining: sheepskin.","Slipping on ready for the casual settings, this pair of sliders by Celtic & Co. is made with leather uppers for long-lasting quality.
Set on a flatform heel, they are finished with a rounded toe."
"Washing Instructions is Do Not Wash. Shoe Or Boot Style is Loafers. Main Shoe Material is Suede. Heel Type is Block. Heel Height is Low. Brand is White Stuff. Occasion Type is Casual. Exact Heel Height is 2cm. Comfort and Fit is Underfoot Cushioning. Toe Detail is Almond. Material is Upper: suede, Sole: synthetic, Lining: textile, Sock: leather.","Step into style (and comfort) with these suede loafers from White Stuff.
With cushioned insoles for that walking-on-air feeling all day long, they sit on a low block heel and are rounded off with an almond-shaped toe for a softer silhouette."
"Main Shoe Material is Leather. Shoe Or Boot Style is Mules. Heel Type is Block. Heel Height is Low. Brand is Jigsaw. Occasion Type is Casual. Exact Heel Height is 3cm. Toe Detail is Closed Toe, Round. Material is Upper: leather, Sole: wood.","Slipping on for effortless style, this pair of mules from Jigsaw is made with leather uppers for long-lasting quality.
Sitting on a block heel, they are shaped with a round toe for everyday appeal.
Heel height: 3cm"
"Heel Height is High. Brand is Ted Baker. Occasion Type is Casual. Main Shoe Material is Leather. Shoe Or Boot Style is Court Shoes. Heel Type is Stiletto. Toe Detail is Pointed. Material is Upper: leather, Sole: resin.","The ultimate in stalwart style, this pair of courts from Ted Baker is made from leather for comfort and quality that you can rely on.
Set on a stiletto heel, they are finished with a pointed toe that elongates the profile."
"Heel Height is High. Washing Instructions is Sponge Clean Only. Brand is Tommy Hilfiger. Occasion Type is Casual. Main Shoe Material is Textile. Shoe Or Boot Style is Espadrilles. Exact Heel Height is 8.5cm. Fastening is Tie. Heel Type is Wedge. Toe Detail is Closed Toe, Round.  Heel Style is Stacked. Pattern Details is Logo. Material is Upper: cotton, Lining: textile, Sole: synthetic."," Bolstering your warm-weather collection, this pair of espadrilles by Tommy Hilfiger is stitched with textile uppers for a premium feel.
Sitting on a wedge heel, they pair well with midi skirts and dresses for effortless smart-casual ensembles.
Heel height: 8.5cm"
"Heel Height is Mid. Washing Instructions is Clean with a dry cloth. Brand is SJP by Sarah Jessica Parker. Occasion Type is Smart. Main Shoe Material is Satin. Shoe Or Boot Style is Court Shoes. Exact Heel Height is 5cm. Fastening is Buckle. Heel Type is Block. Toe Detail is Round. Material is Upper: satin, Sole: leather, Lining: leather.","Complete your occasion outfit with these glitzy Cosette court shoes from SJP by Sarah Jessica Parker.
Made from gorgeous satin, they feature sparkling embellishment on the buckle and are completed with leather lining for all-day comfort and a mid-height block heel."
"Heel Height is Mid. Brand is Carvela. Main Shoe Material is Leather. Shoe Or Boot Style is Espadrilles. Exact Heel Height is 5cm. Heel Type is Flatform. Toe Detail is Open Toe. Composition is Upper: leather, Sole: synthetic, Lining: synthetic."," Bolstering your warm-weather collection, this pair of espadrilles by Carvela is crafted from leather for comfort and longevity of wear.
Sitting on a flatform heel, they can be paired with anything from floaty skirts to linen trousers for a fresh look this season.
Heel height: 5cm"
"Heel Height is Mid. Washing Instructions is Wipe Clean Only. Brand is L.K.Bennett. Shoe Or Boot Style is Court Shoes. Main Shoe Material is Leather. Exact Heel Height is 6cm. Heel Type is Block. Toe Detail is Square. Material is Upper: leather, Sole: synthetic, Lining: leather.","Taking on a strong Sixties' aesthetic, these Samantha court shoes from L.K.Bennett are a great alternative to an ankle boot or classic court this autumn/winter. Crafted in Spain from beautiful Nappa leather, they have loafer styling with square toes, gold snaffle detail and block heels wrapped in matching patent leather. Wear them with pencil skirts and a knit for a chic, autumnal look."
"Heel Height is High. Brand is Carvela. Occasion Type is Smart. Main Shoe Material is Synthetic. Shoe Or Boot Style is Court Shoes, Heeled Sandals. Exact Heel Height is 9.50cl. Heel Type is Stiletto. Toe Detail is Closed Toe, Pointed.  Heel Style is Covered. Pattern Details is Embellishment. Composition is Upper: synthetic, Sole: synthetic, Lining: synthetic.","In a sleek silhouette, this pair of court shoes from Carvela is embellished for added shimmer on evenings out.
Set on a stiletto heel, they are finished with a pointed toe for a sharp finish.
Exact Heel Height: 9.5cm"
"Washing Instructions is Wipe Clean Only. Main Shoe Material is Satin. Shoe Or Boot Style is Court Shoes. Heel Type is Stiletto. Heel Height is High. Brand is L.K.Bennett. Occasion Type is Casual. Exact Heel Height is 8.5cm. Toe Detail is Pointed. Material is Upper: fabric, Sole: leather, Lining: leather.","In a traditional court silhouette, this pair of shoes by L.K.Bennett is made from satin for a flexible and luxurious feel.
Set on a stiletto heel, they are finished with a pointed toe that's sure to flatter.
Heel height: 8.5cm"
"Heel Height is Low. Brand is AllSaints. Occasion Type is Smart. Main Shoe Material is Leather. Shoe Or Boot Style is Loafers. Exact Heel Height is 2cm. Heel Type is Flat. Toe Detail is Almond, Closed Toe. Composition is Upper: leather, Sole: rubber, Lining: leather.","An easy addition to your wardrobe, this pair of loafers from AllSaints is crafted from leather for comfort and longevity of wear.
Sitting on a block heel, they are shaped with an almond toe for a neat finish.
Heel height: 2cm"
"Heel Height is High. Brand is Moda in Pelle. Main Shoe Material is Leather. Shoe Or Boot Style is Mules. Exact Heel Height is 9cm. Heel Type is Stiletto. Toe Detail is Peep Toe. Material is Upper: leather, Sole: rubber, Lining: leather.","Bolstering your warm-weather collection, this pair of mules from Moda in Pelle is made with leather uppers for long-lasting quality.
Sitting on a stiletto heel, they are finished with a peep-toe for added charm.
Heel height: 9cm"
"Heel Height is Mid. Brand is Chie Mihara. Main Shoe Material is Suede Blend. Shoe Or Boot Style is Court Shoes. Exact Heel Height is 7.5cm.  Heel Style is Covered. Fastening is Buckle. Heel Type is Block. Toe Detail is Round. Material is Upper: suede, Sole: rubber/mixed leather, Lining: leather.","An elegant option, these court shoes sit on a textured base with an intriguing cross over style suede upper."
"Heel Height is Low. Brand is Hotter. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Leather. Exact Heel Height is 2.5cm. Heel Type is Flat. Comfort and Fit is Underfoot Cushioning. Toe Detail is Closed Toe, Round. Material is Upper: leather, Sole: polyurethane, Lining: faux fur/textile.","Updating your cool-weather collection, this pair of ankle boots by Hotter is made with leather uppers for long-lasting quality.
Sitting on a flat heel, they boast underfoot cushioning to improve comfort support and are shaped with a round toe for everyday appeal.
Heel height: 2.5cm"
"Sport & Fitness Activity is Walking, Hiking & Camping. Washing Instructions is Hand Wash Only. Brand is Merrell. Occasion Type is Casual. Main Shoe Material is Synthetic. Shoe Or Boot Style is Walking. Fabric Features is Breathable, Gore-tex, Waterproof. Heel Type is Flat. Type is Trail & Walking Shoes. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Material is Upper: sythetic textile, Sole: rubber.","Equipped with GORE-TEX protection and a breathable mesh upper, the Siren 4 are engineered to match the contours of your foot, offering support, alignment and stability.
Superb traction is provided with the Vibram® Icetrek outsole, and the recycled fleece lining is just a bonus as far as we're concerned."
"Heel Height is Mid. Brand is Carvela. Main Shoe Material is Suede. Shoe Or Boot Style is Ankle Boots. Exact Heel Height is 6.5cm. Heel Type is Block. Toe Detail is Pointed. Material is Upper: suede, Sole: synthetic, Lining: synthetic.","Made from soft suede, these Admire Low Slouch ankle boots from Carvela feature a slouchy design with a gold-tone zip on the inner side."
"Shoe Or Boot Style is Ankle Boots, Wellingtons. Main Shoe Material is Rubber. Heel Type is Block. Heel Height is Low. Brand is Hunter. Exact Heel Height is 2.5cm. Toe Detail is Closed Toe. Composition is Upper: rubber, Sole: rubber, Lining: polyester.","The new and improved Hunter Original Chelsea Boot has an even more optimum fit to maximise all-day comfort. Ready for rain, each boot is handcrafted from natural rubber and vulcanised for superior protection. Retaining the iconic features of a traditional Chelsea, it features elasticated-gussets and has a nylon pull-tab to make stepping into the boot easy. Finished with contrast accents, these waterproof Chelsea's are a wet weather wardrobe essential."
"Heel Height is Low. Brand is Hotter. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Leather. Exact Heel Height is 2.5cm. Heel Type is Flat. Comfort and Fit is Underfoot Cushioning. Toe Detail is Closed Toe, Round. Material is Upper: leather, Lining: textile, Sole: polyurethane. Pattern Details is Plain.","An understated classic you can’t possibly be without, this pair of slouchy ankle boots from Hotter is made with supple leather for a luxurious feel.
Set on a flat heel with a side zip, they are designed with underfoot cushioning for ultimate comfort and have a rounded toe for everyday charm.
Heel height: 2.5cm"
"Heel Height is Low. Brand is FatFace. Shoe Or Boot Style is Knee Boots. Main Shoe Material is Leather. Exact Heel Height is 3.5cm. Heel Type is Block. Toe Detail is Closed Toe, Round. Composition is Upper: leather: Sole: rubber. Pattern Details is Plain.","Sure to be a favourite in cooler months, this pair of knee boots by FatFace is crafted from leather for comfort and longevity of wear.
Sitting on a block heel, they are finished with a rounded toe.
Heel height: 3.5cm"
"Heel Height is Low. Brand is rag & bone. Occasion Type is Casual. Shoe Or Boot Style is Chelsea Boots. Main Shoe Material is Leather. Exact Heel Height is 5cm. Heel Type is Block. Toe Detail is Almond, Closed Toe. Composition is Upper: leather, Lining: leather, Sole: rubber. Pattern Details is Plain.","Giving a nod to its London origins, this pair of Chelsea boots by rag & bone is made with leather uppers for long-lasting quality.
Sitting on a block heel, they are shaped with an almond toe for a neat finish.
Heel height: 5cm"
"Heel Height is Mid. Washing Instructions is Wipe Clean. Brand is Hunter. Occasion Type is Casual. Shoe Or Boot Style is Wellingtons. Main Shoe Material is Rubber. Exact Heel Height is 6cm. Heel Type is Flat. Toe Detail is Round. Composition is Upper: rubber, Sole: rubber, Lining: recycled polyester. Sustainable Material is Recycled. Pattern Details is Rainbow.","Your go-to for drizzly days, this pair of wellington boots from Hunter is formed from rubber for a look that's sure to withstand the elements.
Sitting on a flat heel, they are finished with a rounded toe.
Heel height: 6cm"
"Heel Height is High. Brand is Dune. Main Shoe Material is Synthetic. Shoe Or Boot Style is Ankle Boots. Exact Heel Height is 8cm. Heel Type is Stiletto. Toe Detail is Pointed. Material is Upper: synthetic, Sole: synthetic, Lining: synthetic.","The clean silhouette of these Object ankle boots from Dune makes them chic, timeless, and versatile.
They have been crafted in-house with a pointy-toe profile and rest on a slick high-stiletto heel, whilst the side-zip fastening will enable you to slip yours on effortlessly."
"Heel Height is Low. Washing Instructions is Do Not Wash. Brand is Hunter. Occasion Type is Casual. Shoe Or Boot Style is Wellingtons. Main Shoe Material is Rubber. Exact Heel Height is 3cm. Heel Type is Block. Toe Detail is Closed Toe. Composition is Upper: rubber, Sole: rubber.","Keeping you dry on days you'd rather be inside, this pair of wellington boots from Hunter is ideal for getting out and about, even if the weather thinks otherwise.
Set on a block heel, they are sure to be a favourite for off-duty days.
Heel height: 3cm"
"Heel Height is Mid. Brand is Dune. Main Shoe Material is Suede. Shoe Or Boot Style is Cowboy Boots. Exact Heel Height is 6.5cm. Heel Type is Cuban. Toe Detail is Closed Toe, Pointed. Material is Upper: suede, Sole: synthetic, Lining: synthetic .","Bringing Western trends to everyday living, this pair of cowboy boots from Dune is cut from suede for a quality, tactile feel.
Elevated on a cuban heel, they are finished with a pointed toe that's sure to flatter.
Heel height: 6.5cm"
"Heel Height is Low. Washing Instructions is Do Not Wash. Brand is White Stuff. Shoe Or Boot Style is Shoe Boots. Main Shoe Material is Suede. Exact Heel Height is 2.5cm. Heel Type is Cone. Toe Detail is Almond, Closed Toe. Material is Upper: suede, Lining: textile.","Balancing function and form, this pair of shoe boots from White Stuff is fashioned from suede for long-lasting quality and comfort.
Set on a cone heel, they have an almond-shaped toe that makes for a smooth finish.
Heel height: 2.5cm"
"Heel Height is Low. Brand is Gabor. Occasion Type is Casual. Shoe Or Boot Style is Chelsea Boots. Main Shoe Material is Leather. Exact Heel Height is 2.5cm. Heel Type is Block. Exact Boot Length is 16cm. Toe Detail is Round. Composition is Upper: leather, Lining; mircrofibre, Sole: TR .","Sturdy, reliable and always in fashion, this pair of Chelsea boots from Gabor won't be a one-hit wonder thanks to its premium leather uppers.
Sitting on a block heel and with removable insoles, they are finished with a rounded toe.
Heel height: 2.5cm"
"Heel Height is High. Brand is Moda in Pelle. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Synthetic. Exact Heel Height is 8.5cm. Heel Type is Block. Toe Detail is Almond, Closed Toe. Material is Upper: synthetic, Sole: rubber, Lining: faux fur.","Balancing function and form, this pair of ankle boots from Moda in Pelle offers long-lasting, comfortable wear.
Sitting on a block heel, they have an almond-shaped closed toe that makes for a smooth finish.
Heel height: 8.5cm"
"Brand is Barbour. Occasion Type is Casual. Shoe Or Boot Style is Wellingtons. Main Shoe Material is Rubber. Toe Detail is Round. Material is Upper: rubber/other, Sole: rubber, Lining: polyester/cotton.","A contemporary update on its classic wellies, the Abbey from Barbour boasts sturdy rubber construction and a chunky sole to keep feet warm and dry in the worst weather.

Complete with a repeating logo to the backstrap."
"Heel Height is Mid. Brand is Dune. Occasion Type is Casual. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Suede. Exact Heel Height is 7.5cm. Heel Type is Flared. Toe Detail is Pointed. Composition is Upper: suede, Sole: synthetic.","A true chameleon in styling that'll give edge to dresses and denim alike, this pair of ankle boots from Dune is cut from premium suede for a luxe texture and longevity of wear.
Set on a flared heel, they will elongate your profile with their pointed toe.
Heel height: 7.5cm"
"Heel Height is Low. Brand is UGG. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Sheepskin. Exact Heel Height is 3cm. Heel Type is Flatform. Toe Detail is Round. Composition is Upper: sheepskin, suede, Lining: wool mix, Sole: EVA."," A necessity in the cooler weather, this pair of boots from UGG is crafted from soft sheepskin to provide ultimate comfort.
Sitting on a flatform heel, they have a rounded toe for everyday charm.
Heel height: 3cm"
"Washing Instructions is Wipe Clean Only. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Leather. Heel Type is Block. Heel Height is Low. Brand is Crew Clothing. Occasion Type is Casual. Exact Heel Height is 2.0cm. Toe Detail is Round. Composition is Upper: leather, Lining/Sock: leather, Outer sole: synthetic. Pattern Details is Plain.","Cut to an ankle-high silhouette, this pair of boots from Crew Clothing is fashioned from leather for footwear that will last for years to come.
Sitting on a block heel with a zip up side, they are shaped with a round toe for everyday appeal.
Heel height: 2cm"
"Heel Height is Low. Brand is UGG. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Suede. Exact Heel Height is 3cm. Heel Type is Flatform. Comfort and Fit is Underfoot Cushioning. Toe Detail is Closed Toe. Material is Upper: Suede, Lining: Sheepskin, Sole: EVA.","UGG's Classic Short Boot was originally worn by surfers to keep warm after early-morning sessions, and has since become iconic for its soft sheepskin and enduring design. Incorporating a durable, lightweight sole to increase cushioning and traction, these versatile boots pair well with practically anything. Try yours with loose boyfriend jeans and a velvet top.
This product was made in a factory that supports women in the supply chain with the help of HERproject, a collaborative initiative that creates partnerships with brands like UGGs to empower and educate women in the workplace."
"Washing Instructions is Wipe Clean Only. Main Shoe Material is Rubber. Shoe Or Boot Style is Wellingtons. Heel Type is Block. Heel Height is Low. Brand is Barbour. Exact Heel Height is 3cm. Toe Detail is Closed Toe. Material is Upper: rubber, Sole: rubber, Lining: cotton.","The Barbour Wilton Chelsea Wellington Boots feature all the fashion and function we have come to expect from the iconic British outdoor brand. With a sturdy and comfortable rubber construction, this timeless style is a great investment for both winter weather and summer showers."
"Heel Height is Mid. Brand is Moda in Pelle. Main Shoe Material is Leather. Shoe Or Boot Style is Ankle Boots. Exact Heel Height is 5cm. Heel Type is Block. Toe Detail is Closed Toe. Material is Upper: leather, Sole: rubber, Lining: textile.","Sitting at the ankle for a classic style, this pair of boots from Moda in Pelle is made with longevity in mind, thanks to its quality leather uppers.
Elevated on a block heel, they pair well with anything from tailored trousers to jeans for a look that will never date.
Heel height: 5cm"
"Heel Height is Mid. Brand is Moda in Pelle. Occasion Type is Casual. Main Shoe Material is Leather. Shoe Or Boot Style is Chelsea Boots. Exact Heel Height is 5cm. Heel Type is Block. Toe Detail is Closed Toe. Material is Upper: leather, Sole: rubber, Lining: textile.","Functional whilst undeniably stylish, this pair of Chelsea boots by Moda in Pelle is cut from quality leather.
Resting on a block heel, they pair well with anything from tailored trousers to jeans for a look that will never date.
Heel height: 5cm"
"Sport & Fitness Activity is Walking, Hiking & Camping. Brand is Altra. Occasion Type is Casual. Main Shoe Material is Synthetic. Shoe Or Boot Style is Walking. Country of Origin is Vietnam. Heel Type is Flat. Type is Trail & Walking Shoes. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Composition is Upper: synthetic, Sole: rubber.","The thru-hike-ready and weather-resistant version of Altra's Lone Peak, with an eVent™ weather-resistant bootie construction, a grippy DuraTread™ outsole, and a soft yet responsive Altra EGO™ midsole.

Allows your toes to relax and spread out naturally for more comfort and stability in uphill climbs and downhill descents.

This positions your heel and forefoot at an equal distance from the ground, encouraging better alignment, better form, and a low impact landing.

Dual-Nature midsole compound with a responsive, yet soft feel for increased energy return.

A perfect combination of grip, traction and durability that will eat up gnarly terrain like a boss."
"Heel Height is High. Brand is Stuart Weitzman. Occasion Type is Smart. Main Shoe Material is Leather. Shoe Or Boot Style is Ankle Boots. Exact Heel Height is 8.5cm. Heel Type is Stiletto. Toe Detail is Pointed. Material is Upper: leather, Lining: leather, Sole: synthetic.","The Stuart 85 bootie offers a new take on Stuart Weitzman's signature sock bootie design with unapologetically bold and sharp lines.
With this precisely-constructed silhouette, they took its signature minimalist, sophisticated design sensibility to bold new heights thanks to an exaggerated, sharply pointed toe, one of the top trends of the season, and sleek 85mm stiletto heel./p>

High-fashion design and high-function engineering define the look: Crafted by Stuart Weitzman's artisans in Spain from stretch-infused materials, it's designed to mould to your calf and foot for a flawless and comfortable second-skin fit. "
"Heel Height is Mid. Brand is See By Chloé. Occasion Type is Casual. Main Shoe Material is Suede. Shoe Or Boot Style is Ankle Boots. Exact Heel Height is 4.5cm. Heel Type is Block. Toe Detail is Closed Toe, Round. Material is Upper: suede, Sole: rubber, Lining: leather.","A year-round staple, this pair of ankle boots from See By Chloé is cut from suede for a quality, tactile feel.
Sitting on a block heel, they are finished with a rounded toe.
Heel height: 4.5cm"
"Heel Height is Low. Brand is Hotter. Shoe Or Boot Style is Walking. Main Shoe Material is Nubuck. Exact Heel Height is 2.5cm. Heel Type is Flat. Comfort and Fit is Extra Wide Fit, Flexible Sole, Underfoot Cushioning. Toe Detail is Closed Toe, Round. Composition is Upper: nubuck/textile Sole: synthetic, Lining: textile.","Allowing you to make the most of what the countryside has in store, this pair of walking boots from Hotter offers subtle texture with its nubuck uppers.
Set on a flat heel, they are extra wide in fit, have a flexible sole as well as underfoot cushioning, and are finished with a rounded toe.
Heel height: 2.5cm"
"Heel Height is Low. Brand is Hotter. Main Shoe Material is Nubuck. Shoe Or Boot Style is Walking. Exact Heel Height is 2.5cm. Heel Type is Flat. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Toe Detail is Closed Toe, Round. Composition is Upper: nubuck/textile Sole: synthetic, Lining: textile.","Taking unfamiliar terrain in their stride, this ankle-high pair of walking boots from Hotter is beautifully textured with nubuck uppers.
Resting on a flat heel, they have a flexible sole, underfoot cushioning and are shaped with a round toe for everyday appeal.
Heel height: 2.5cm"
"Heel Height is Low. Brand is Hotter. Main Shoe Material is Nubuck. Shoe Or Boot Style is Walking. Exact Heel Height is 3.2cm. Heel Type is Flat. Comfort and Fit is Underfoot Cushioning, Wide Fit. Toe Detail is Closed Toe, Round. Composition is Upper: waxed nubuck textile, Sole: polyurethane, Lining: textile.","Getting you ready for weekend wanders, this pair of walking boots from Hotter offers a quality texture to your ensembles thanks to its nubuck uppers.
Set on a flat heel, they are designed with comfort in mind, featuring underfoot cushioning and a wide fit and are round-toed in design to make your everyday staples sing.
Heel height: 3.2cm"
"Heel Height is Low. Brand is Hotter. Main Shoe Material is Leather. Shoe Or Boot Style is Ankle Boots. Exact Heel Height is 2cm. Heel Type is Block. Comfort and Fit is Extra Wide Fit, Underfoot Cushioning. Toe Detail is Almond, Closed Toe. Composition is Upper: leather, Sole: synthetic, Lining: textile.","Pulling on for autumnal appeal, this pair of ankle boots from Hotter offers a luxurious feel with its supple leather.
Elevated on a block heel, they are extra wide in fit, designed with underfoot cushioning and are shaped with an almond toe for a neat finish.
Heel height: 2cm"
